datetime,"price BTC-USD"
2018-01-04T00:00:00+00:00,13986.879872802
2018-01-05T00:00:00+00:00,14192.37
2018-01-06T00:00:00+00:00,14810
2018-01-07T00:00:00+00:00,15638.854647026
2018-01-08T00:00:00+00:00,13079.674700128
2018-01-09T00:00:00+00:00,13900
2018-01-10T00:00:00+00:00,13213.84972223
2018-01-11T00:00:00+00:00,11910.210046514
2018-01-12T00:00:00+00:00,12581.438188969
2018-01-13T00:00:00+00:00,12807.27
2018-01-14T00:00:00+00:00,12707.63063733
2018-01-15T00:00:00+00:00,13072.22
2018-01-16T00:00:00+00:00,10365.671035982
2018-01-17T00:00:00+00:00,9199.7827323881
2018-01-18T00:00:00+00:00,9222
2018-01-19T00:00:00+00:00,10619.848844027
2018-01-20T00:00:00+00:00,11025.18
2018-01-21T00:00:00+00:00,10966.325436314
2018-01-22T00:00:00+00:00,9979.7683824909
2018-01-23T00:00:00+00:00,9910.7573811534
2018-01-24T00:00:00+00:00,9927.54
2018-01-25T00:00:00+00:00,10488.13
2018-01-26T00:00:00+00:00,10273.753413401
2018-01-27T00:00:00+00:00,10263.32
2018-01-28T00:00:00+00:00,10815.84
2018-01-29T00:00:00+00:00,11103.152244183
2018-01-30T00:00:00+00:00,9879.9777692895
2018-01-31T00:00:00+00:00,9679.8280811546
2018-02-01T00:00:00+00:00,8869.7899159168
2018-02-02T00:00:00+00:00,7982.1721554901
2018-02-03T00:00:00+00:00,7625.25
2018-02-04T00:00:00+00:00,7965.6914127908
2018-02-05T00:00:00+00:00,6749.2330045082
2018-02-06T00:00:00+00:00,6033.1455416255
2018-02-07T00:00:00+00:00,5920.72
2018-02-08T00:00:00+00:00,7213.8
2018-02-09T00:00:00+00:00,7565.5
2018-02-10T00:00:00+00:00,7753.32
2018-02-11T00:00:00+00:00,7832.3406555807
2018-02-12T00:00:00+00:00,7820
2018-02-13T00:00:00+00:00,8067
2018-02-14T00:00:00+00:00,8360.13
2018-02-15T00:00:00+00:00,8504.57
2018-02-16T00:00:00+00:00,9350
2018-02-17T00:00:00+00:00,9707.51
2018-02-18T00:00:00+00:00,10053.5
2018-02-19T00:00:00+00:00,10153.15
2018-02-20T00:00:00+00:00,10307.51
2018-02-21T00:00:00+00:00,10249.302406234
2018-02-22T00:00:00+00:00,9753.5259565231
2018-02-23T00:00:00+00:00,9596.1687041154
2018-02-24T00:00:00+00:00,9389.4229593058
2018-02-25T00:00:00+00:00,9316.35755439
2018-02-26T00:00:00+00:00,9260
2018-02-27T00:00:00+00:00,9376.34
2018-02-28T00:00:00+00:00,10150
2018-03-01T00:00:00+00:00,10232.069759457
2018-03-02T00:00:00+00:00,10223.41
2018-03-03T00:00:00+00:00,10774.01
2018-03-04T00:00:00+00:00,11022.85
2018-03-05T00:00:00+00:00,11054.91
2018-03-06T00:00:00+00:00,10572.33438747
2018-03-07T00:00:00+00:00,9669.1202088944
2018-03-08T00:00:00+00:00,9078.1786541371
2018-03-09T00:00:00+00:00,8395.4176407624
2018-03-10T00:00:00+00:00,8366
2018-03-11T00:00:00+00:00,8467.2549668361
2018-03-12T00:00:00+00:00,8450
2018-03-13T00:00:00+00:00,8742.07
2018-03-14T00:00:00+00:00,7962.9993518745
2018-03-15T00:00:00+00:00,7718.0070882694
2018-03-16T00:00:00+00:00,7682
2018-03-17T00:00:00+00:00,7763.9444203685
2018-03-18T00:00:00+00:00,7290.7672458613
2018-03-19T00:00:00+00:00,7325.37
2018-03-20T00:00:00+00:00,8114.17
2018-03-21T00:00:00+00:00,8313.01
2018-03-22T00:00:00+00:00,8475.5009991817
2018-03-23T00:00:00+00:00,8330.5802503361
2018-03-24T00:00:00+00:00,8265
2018-03-25T00:00:00+00:00,8384.9743282918
2018-03-26T00:00:00+00:00,7846.158349602
2018-03-27T00:00:00+00:00,7735.6958963594
2018-03-28T00:00:00+00:00,7736.8624307055
2018-03-29T00:00:00+00:00,6921.0557228847
2018-03-30T00:00:00+00:00,6578.9320531342
2018-03-31T00:00:00+00:00,6550
2018-04-01T00:00:00+00:00,6444.9696538361
2018-04-02T00:00:00+00:00,6427.16
2018-04-03T00:00:00+00:00,6759.96
2018-04-04T00:00:00+00:00,6728.227102762
2018-04-05T00:00:00+00:00,6584.8345520911
2018-04-06T00:00:00+00:00,6519.0637256945
2018-04-07T00:00:00+00:00,6510
2018-04-08T00:00:00+00:00,6600.99
2018-04-09T00:00:00+00:00,6624.5573958339
2018-04-10T00:00:00+00:00,6611.49
2018-04-11T00:00:00+00:00,6653.21
2018-04-12T00:00:00+00:00,6762.1627279529
2018-04-13T00:00:00+00:00,6758.45
2018-04-14T00:00:00+00:00,7753.32
2018-04-15T00:00:00+00:00,7835
2018-04-16T00:00:00+00:00,7901.9980596252
2018-04-17T00:00:00+00:00,7842.5681786055
2018-04-18T00:00:00+00:00,7806.81
2018-04-19T00:00:00+00:00,7870.35
2018-04-20T00:00:00+00:00,8074.44
2018-04-21T00:00:00+00:00,8216.9
2018-04-22T00:00:00+00:00,8608
2018-04-23T00:00:00+00:00,8760
2018-04-24T00:00:00+00:00,8771.22
2018-04-25T00:00:00+00:00,8752.2022208628
2018-04-26T00:00:00+00:00,8658.0631742193
2018-04-27T00:00:00+00:00,8647.29
2018-04-28T00:00:00+00:00,8883.6769132413
2018-04-29T00:00:00+00:00,8854.47
2018-04-30T00:00:00+00:00,9127.9935408193
2018-05-01T00:00:00+00:00,8835.7279048585
2018-05-02T00:00:00+00:00,8815.91
2018-05-03T00:00:00+00:00,8975.23
2018-05-04T00:00:00+00:00,9165.19
2018-05-05T00:00:00+00:00,9527.38
2018-05-06T00:00:00+00:00,9429.9315690805
2018-05-07T00:00:00+00:00,9182.3687165558
2018-05-08T00:00:00+00:00,9048.8144304369
2018-05-09T00:00:00+00:00,8972.8803276427
2018-05-10T00:00:00+00:00,8974.62
2018-05-11T00:00:00+00:00,8345.6449270373
2018-05-12T00:00:00+00:00,8190.5121917337
2018-05-13T00:00:00+00:00,8208.81
2018-05-14T00:00:00+00:00,8280.3963006727
2018-05-15T00:00:00+00:00,8286.57
2018-05-16T00:00:00+00:00,8113.4717303901
2018-05-17T00:00:00+00:00,7989.9797731327
2018-05-18T00:00:00+00:00,7923.9502667357
2018-05-19T00:00:00+00:00,7929.53
2018-05-20T00:00:00+00:00,8141.08
2018-05-21T00:00:00+00:00,8170.71
2018-05-22T00:00:00+00:00,7950.0280073787
2018-05-23T00:00:00+00:00,7434.1849581381
2018-05-24T00:00:00+00:00,7316.3192487475
2018-05-25T00:00:00+00:00,7267.24
2018-05-26T00:00:00+00:00,7300.1812678221
2018-05-27T00:00:00+00:00,7234.3480651231
2018-05-28T00:00:00+00:00,7072.4772635905
2018-05-29T00:00:00+00:00,7050.5771288813
2018-05-30T00:00:00+00:00,7026.9
2018-05-31T00:00:00+00:00,7273.89
2018-06-01T00:00:00+00:00,7330.22
2018-06-02T00:00:00+00:00,7348.45
2018-06-03T00:00:00+00:00,7438.92
2018-06-04T00:00:00+00:00,7458.8826764694
2018-06-05T00:00:00+00:00,7376.5325204013
2018-06-06T00:00:00+00:00,7360
2018-06-07T00:00:00+00:00,7482.61
2018-06-08T00:00:00+00:00,7542.3902138984
2018-06-09T00:00:00+00:00,7463.0693875894
2018-06-10T00:00:00+00:00,6634.2784671097
2018-06-11T00:00:00+00:00,6627.7
2018-06-12T00:00:00+00:00,6459.2252323102
2018-06-13T00:00:00+00:00,6132.68228106
2018-06-14T00:00:00+00:00,6120
2018-06-15T00:00:00+00:00,6270.69
2018-06-16T00:00:00+00:00,6343.4604481496
2018-06-17T00:00:00+00:00,6333.63
2018-06-18T00:00:00+00:00,6381.2794340768
2018-06-19T00:00:00+00:00,6381.25
2018-06-20T00:00:00+00:00,6566.2998401853
2018-06-21T00:00:00+00:00,6558.95
2018-06-22T00:00:00+00:00,5936.5665813112
2018-06-23T00:00:00+00:00,5940
2018-06-24T00:00:00+00:00,5780.5564906495
2018-06-25T00:00:00+00:00,5780
2018-06-26T00:00:00+00:00,6062.2214458092
2018-06-27T00:00:00+00:00,6013.3120263535
2018-06-28T00:00:00+00:00,5838.818598277
2018-06-29T00:00:00+00:00,5794.8143671851
2018-06-30T00:00:00+00:00,5774.72
2018-07-01T00:00:00+00:00,6190.28
2018-07-02T00:00:00+00:00,6259.34
2018-07-03T00:00:00+00:00,6270.69
2018-07-04T00:00:00+00:00,6433.3861582183
2018-07-05T00:00:00+00:00,6413.2
2018-07-06T00:00:00+00:00,6445.31
2018-07-07T00:00:00+00:00,6449.76
2018-07-08T00:00:00+00:00,6510
2018-07-09T00:00:00+00:00,6658.6381569661
2018-07-10T00:00:00+00:00,6309.9932539311
2018-07-11T00:00:00+00:00,6270.84
2018-07-12T00:00:00+00:00,6088.6956602105
2018-07-13T00:00:00+00:00,6072
2018-07-14T00:00:00+00:00,6121.01
2018-07-15T00:00:00+00:00,6180
2018-07-16T00:00:00+00:00,6227.76
2018-07-17T00:00:00+00:00,6333.63
2018-07-18T00:00:00+00:00,6657.95
2018-07-19T00:00:00+00:00,7239.15
2018-07-20T00:00:00+00:00,7278.84
2018-07-21T00:00:00+00:00,7226.6181922783
2018-07-22T00:00:00+00:00,7212
2018-07-23T00:00:00+00:00,7336.15
2018-07-24T00:00:00+00:00,7369.86
2018-07-25T00:00:00+00:00,7691.14
2018-07-26T00:00:00+00:00,7862.7036093789
2018-07-27T00:00:00+00:00,7808.4085545544
2018-07-28T00:00:00+00:00,7798.48
2018-07-29T00:00:00+00:00,8051.43
2018-07-30T00:00:00+00:00,7864.2168691738
2018-07-31T00:00:00+00:00,7655.185178303
2018-08-01T00:00:00+00:00,7441.8270319149
2018-08-02T00:00:00+00:00,7440
2018-08-03T00:00:00+00:00,7295.5123768431
2018-08-04T00:00:00+00:00,6989.6134913797
2018-08-05T00:00:00+00:00,6903.1382377779
2018-08-06T00:00:00+00:00,6834.383360777
2018-08-07T00:00:00+00:00,6674.1846132699
2018-08-08T00:00:00+00:00,6128.0418213102
2018-08-09T00:00:00+00:00,6121
2018-08-10T00:00:00+00:00,6026.1624866545
2018-08-11T00:00:00+00:00,5995.75
2018-08-12T00:00:00+00:00,6000
2018-08-13T00:00:00+00:00,6144.5152781186
2018-08-14T00:00:00+00:00,5872.8917768765
2018-08-15T00:00:00+00:00,5880
2018-08-16T00:00:00+00:00,6186.02
2018-08-17T00:00:00+00:00,6208.37
2018-08-18T00:00:00+00:00,6290.64
2018-08-19T00:00:00+00:00,6303
2018-08-20T00:00:00+00:00,6234.4140270419
2018-08-21T00:00:00+00:00,6215.7665076442
2018-08-22T00:00:00+00:00,6246.05
2018-08-23T00:00:00+00:00,6250
2018-08-24T00:00:00+00:00,6344.8
2018-08-25T00:00:00+00:00,6445.32
2018-08-26T00:00:00+00:00,6564.7623781802
2018-08-27T00:00:00+00:00,6558.95
2018-08-28T00:00:00+00:00,6641.35
2018-08-29T00:00:00+00:00,6861.17
2018-08-30T00:00:00+00:00,6791.8553457851
2018-08-31T00:00:00+00:00,6792.85
2018-09-01T00:00:00+00:00,6879
2018-09-02T00:00:00+00:00,7015.22
2018-09-03T00:00:00+00:00,7130.63
2018-09-04T00:00:00+00:00,7184
2018-09-05T00:00:00+00:00,6715.0812861589
2018-09-06T00:00:00+00:00,6277.1436317882
